universe,leg_x,leg_y,correlation,n_obs,spread_mean,spread_std,hedge_ratio,coint_statistic,coint_pvalue,half_life,min_corr_used
core_sectors,SPY,QQQ,0.9450851715605559,251,0.3260143325014657,0.015237555502867775,0.9702607684491505,-2.239172350065983,0.4042646904865631,2988.734580003387,0.8
core_sectors,EFA,VEA,0.9942121368336995,251,0.4050979030109722,0.0034584595912840574,1.0145176785289072,-2.202618576795199,0.42301357757883495,,0.8
core_sectors,SOXX,VGT,0.9044934324062993,251,2.2286751046504163,0.059489162777518506,0.5014661839457644,-2.153343022184036,0.44853752675271585,,0.8
core_sectors,VEA,VGK,0.9531536126909054,251,0.3150726655885259,0.009389714805702653,0.8536438200941224,-2.0568286093387527,0.49894046676499787,,0.8
core_sectors,SPY,SCHG,0.9500399127096439,251,3.7195144339074737,0.00999289699865309,0.8005279803436401,-2.012278452703806,0.5221898770085789,27069.03531395104,0.8
core_sectors,VOO,SCHG,0.9506305137896782,251,3.6247795417656117,0.010026651677428862,0.803562786059946,-2.0029880372698403,0.5270244949390788,26126.32499008341,0.8
core_sectors,IVV,SCHG,0.9507445073520386,251,3.7141965282777796,0.010048603221088543,0.8034002237765401,-1.9893889915905791,0.5340892585157555,26576.13911150198,0.8
core_sectors,SMH,SCHG,0.8447972999796971,251,2.1360072737659404,0.061764916608466974,1.0339149247608894,-1.9809303821014965,0.5384753942826439,,0.8
core_sectors,XLI,DIA,0.8476349090471654,251,-2.2488660593755876,0.019419255175684214,1.1826771704496237,-1.9808732142433865,0.5385050151612483,27206.475345282255,0.8
core_sectors,TLT,AGG,0.9407937353654957,251,-1.2650380301633721,0.019152027148358754,1.2670240676302156,-1.9445059934016005,0.5572762088572092,,0.8
core_sectors,SMH,IWF,0.8462140403600867,251,-0.9155013640015304,0.06206181717381902,1.0833369973274771,-1.9443427893943415,0.5573600888750541,2099.814314305459,0.8
core_sectors,TLT,LQD,0.9196904063678213,251,-0.4987991951151704,0.019695120904763712,1.0754150238575146,-1.9428030787674682,0.5581512621101021,,0.8
core_sectors,SMH,VGT,0.9180606448203136,251,-1.4229531695442352,0.060216331680019435,1.087094929693047,-1.921532826606176,0.5690470598804214,3381.902291978603,0.8
core_sectors,XLV,VHT,0.9859145309218995,251,-0.5563706729183625,0.0037214455443521305,0.9906643951243215,-1.8375951926595198,0.6112875935605486,,0.8
core_sectors,TLT,BND,0.94690036240532,251,-0.8762816633061731,0.019385735956324295,1.264384573885336,-1.8232246770368743,0.6183739499859994,,0.8
core_sectors,SPY,IWF,0.9518977965742083,251,1.3620367077691176,0.011504367226366042,0.8379055881859345,-1.741359912415067,0.6577437259073742,9400.566799440317,0.8
core_sectors,VOO,IWF,0.9526071485486491,251,1.2583887450075562,0.011546498715313363,0.8410779765157594,-1.7308044253436412,0.6626837085076285,8589.466245423824,0.8
core_sectors,IVV,IWF,0.9526944273518059,251,1.3483538893863483,0.011571031751164619,0.840895985784225,-1.720335435176152,0.6675499164117906,9157.181801415003,0.8
core_sectors,ITB,XHB,0.9672910760979799,251,0.4077958040111723,0.019270200805859488,0.9161043768553438,-1.6681708665308899,0.6912787099552566,967.4194656084272,0.8
core_sectors,XLE,VDE,0.9938085953838848,251,-0.29186921660670767,0.0035706898579963664,0.9906432798128475,-1.6558949033826476,0.6967317163801523,,0.8
core_sectors,XLY,QQQ,0.8000019396426695,251,-1.360859137764358,0.04204878162165307,1.0745111707223203,-1.573163073764201,0.7320831297821605,,0.8
core_sectors,XLE,XOP,0.9252924500620089,251,1.2317120701849673,0.030959914680637135,0.6555003694660213,-1.5188436062044903,0.7538956371036561,,0.8
core_sectors,DIA,SCHV,0.9082712106224179,251,2.9102434795597687,0.013192967176630014,0.9573502718442256,-1.4573383742876076,0.7771849717346018,,0.8
core_sectors,DIA,IWD,0.9161195647640288,251,1.1463030656159465,0.013556161300176594,0.9351663356620403,-1.2786896609322733,0.8360738446035503,,0.8
core_sectors,EEM,VWO,0.9841770385966622,251,0.41390528806733695,0.008465838511924983,0.882558333199217,-1.191471637469594,0.8601199703503102,3193.519435857768,0.8
core_sectors,XHB,MDY,0.8160653104757143,251,-3.419919693259889,0.03898537022084951,1.287270103586091,-1.1179535827507545,0.8780973951560782,,0.8
core_sectors,XOP,VDE,0.9482369377168197,251,0.5768727489941197,0.037288380511077274,0.9056510147101688,-1.09245719037164,0.8838624942433169,1413.8473785644833,0.8
core_sectors,XLY,VOO,0.8332905512715258,251,-1.4176958708633023,0.042584814163455505,1.0735216550855304,-1.040094204271862,0.8949752955055326,17688.673544427933,0.8
core_sectors,XLY,SPY,0.8357565169683225,251,-1.5338872520928002,0.04259686830736292,1.0774884539449494,-1.0340223896017473,0.8962022276549013,19698.777203673326,0.8
core_sectors,XLY,IVV,0.8345054401173161,251,-1.512380324196448,0.04262151718616743,1.0734023413451528,-1.0317001661906111,0.8966681583216813,18795.257371211377,0.8
core_sectors,XLK,SMH,0.9210497186134693,251,2.511212722922773,0.03221509943328194,0.5251749431033014,-0.9910862848796305,0.9045247822111813,,0.8
core_sectors,SMH,SOXX,0.9803345584754302,251,-1.9218432903892968,0.04631799234543308,1.3645562158590303,-0.9288702056187564,0.9155286836401203,2365.20212514144,0.8
core_sectors,IYW,SMH,0.9068357717127699,251,1.3592398520068214,0.04226943606205588,0.6624421471885121,-0.29725509421123486,0.9760076753664269,,0.8
core_sectors,XLF,IWD,0.8609240592142029,251,-3.908593298828518,0.01812398644025705,1.4814290192204633,-0.23285059821055726,0.9787485049510426,10152.211207702587,0.8
core_sectors,QQQ,SMH,0.8880176740864737,251,3.1473869213793533,0.0385378711154452,0.548934385084139,-0.19678064173894586,0.9801188336140126,,0.8
core_sectors,XLB,SCHV,0.8188849665189972,251,2.334744672178744,0.02657767067127951,0.6679980328795783,-0.1401128613126049,0.9820579593240137,5178.5310084085095,0.8
core_sectors,XLF,SCHV,0.8560462338095943,251,-1.0989853130432468,0.018669116690152816,1.5117979213228268,-0.12978467757655657,0.9823852383109231,2985.274194227332,0.8
core_sectors,XLB,IWD,0.8230953952311306,251,1.0941012262701328,0.026516185922448417,0.6544243232401556,-0.11107679669460917,0.9829587583312704,2480.7154216930676,0.8
core_sectors,XLK,SOXX,0.9099661700141232,251,2.120162711748484,0.04936191772788221,0.6020021329318826,-0.08830229493115103,0.9836246139028498,,0.8
core_sectors,VFH,SCHV,0.8692244431238567,251,-0.4093440052365723,0.021741161538819862,1.5729221802595161,0.04909417274460892,0.9869779219276459,1141.2478886407155,0.8
core_sectors,VFH,IWD,0.8797628096608803,251,-3.336976489156362,0.021035214325948074,1.542182649009594,0.07021498640399058,0.9874048351750678,9086.572230115295,0.8
core_sectors,IYW,SOXX,0.8860812625749781,251,1.108462875558144,0.06607602528477086,0.7143918617434885,0.4161994073962544,0.9920265310954698,,0.8
core_sectors,QQQ,SOXX,0.8833153280229333,251,3.0408350325099898,0.05807845049168744,0.5732092467574684,0.6731560447439491,0.9935181393727303,,0.8
