leg_x,leg_y,correlation,pair_bucket,corr_threshold_used,sector_x,sector_y
IWD,VBR,0.9386162381317519,Same Sector,0.7,Factor,Factor
IWB,SPYV,0.9385832100045954,Cross Sector,0.7,Broad Market,Factor
EFA,EWG,0.938573177838034,Same Sector,0.7,International,International
EFA,EWU,0.9383179502282494,Same Sector,0.7,International,International
SPY,SPYV,0.9382843398487546,Cross Sector,0.7,Broad Market,Factor
XLF,KBE,0.9380741728624364,Same Sector,0.7,Financials,Financials
IWB,MDY,0.937979559303863,Same Sector,0.7,Broad Market,Broad Market
VV,SPYV,0.9378726269020409,Cross Sector,0.7,Broad Market,Factor
OEF,VTV,0.9376559144644935,Cross Sector,0.7,Broad Market,Factor
VTI,VYM,0.9372866932678083,Cross Sector,0.7,Broad Market,Factor
SCHV,XLI,0.9370369595382434,Cross Sector,0.7,Factor,Industrials
VOO,SPYV,0.9368493909676565,Cross Sector,0.7,Broad Market,Factor
FEZ,EWN,0.936450435945493,Same Sector,0.7,International,International
SPY,VYM,0.9364066541089201,Cross Sector,0.7,Broad Market,Factor
RSP,OEF,0.9360753227930788,Same Sector,0.7,Broad Market,Broad Market
MDY,SCHV,0.935713844320641,Cross Sector,0.7,Broad Market,Factor
VTI,VBK,0.9355536105141807,Cross Sector,0.7,Broad Market,Factor
VDE,XOP,0.9354476204900198,Same Sector,0.7,Energy,Energy
VOO,VYM,0.9354365656776007,Cross Sector,0.7,Broad Market,Factor
IJH,SCHV,0.9348704309895345,Cross Sector,0.7,Broad Market,Factor
VEA,EWU,0.9347012743751307,Same Sector,0.7,International,International
RSP,XLI,0.9340692373903065,Cross Sector,0.7,Broad Market,Industrials
IVE,VBR,0.9337587822153569,Same Sector,0.7,Factor,Factor
DIA,SPYV,0.9335510865275597,Cross Sector,0.7,Broad Market,Factor
IWB,VB,0.9335473406992982,Same Sector,0.7,Broad Market,Broad Market
VV,IJH,0.9335300666317875,Same Sector,0.7,Broad Market,Broad Market
EZU,EWI,0.9331538991381011,Same Sector,0.7,International,International
IVV,IJH,0.9330728657163126,Same Sector,0.7,Broad Market,Broad Market
FEZ,EWI,0.9326421391359678,Same Sector,0.7,International,International
VEA,EWG,0.932634096382271,Same Sector,0.7,International,International
KBE,KRE,0.9321950417908013,Same Sector,0.7,Financials,Financials
IJH,IVE,0.9316422885630069,Cross Sector,0.7,Broad Market,Factor
SPY,MDY,0.931531071291175,Same Sector,0.7,Broad Market,Broad Market
SCHV,VFH,0.9315119532824147,Cross Sector,0.7,Factor,Financials
VEA,EWN,0.930881469039844,Same Sector,0.7,International,International
IVV,MDY,0.9306948728857972,Same Sector,0.7,Broad Market,Broad Market
VV,MDY,0.9304290540541044,Same Sector,0.7,Broad Market,Broad Market
SPY,IJH,0.9303214222916109,Same Sector,0.7,Broad Market,Broad Market
VDE,OIH,0.9299436128972411,Same Sector,0.7,Energy,Energy
MDY,IVE,0.9298822508267973,Cross Sector,0.7,Broad Market,Factor
RSP,DVY,0.9292332715194315,Cross Sector,0.7,Broad Market,Factor
VBK,VBR,0.9291115915429281,Same Sector,0.7,Factor,Factor
RSP,IWM,0.929040711053694,Same Sector,0.7,Broad Market,Broad Market
VTV,VBR,0.9289801730550453,Same Sector,0.7,Factor,Factor
EFA,EWN,0.9289463088328063,Same Sector,0.7,International,International
VB,IWD,0.9288401187673262,Cross Sector,0.7,Broad Market,Factor
SCHV,VBR,0.9285461077579016,Same Sector,0.7,Factor,Factor
IJH,VTV,0.9278329790009405,Cross Sector,0.7,Broad Market,Factor
OEF,SCHV,0.9275678299994992,Cross Sector,0.7,Broad Market,Factor
SCHV,XLF,0.9274529960203817,Cross Sector,0.7,Factor,Financials
IVE,VFH,0.9269842011624202,Cross Sector,0.7,Factor,Financials
SPYV,DVY,0.9269513046994975,Same Sector,0.7,Factor,Factor
FEZ,EWP,0.9266568798835136,Same Sector,0.7,International,International
RSP,IJR,0.9266222141926912,Same Sector,0.7,Broad Market,Broad Market
VV,VB,0.9264333787692316,Same Sector,0.7,Broad Market,Broad Market
VOO,QQQ,0.9264312628560817,Same Sector,0.7,Broad Market,Broad Market
EWQ,EWN,0.9262348175485842,Same Sector,0.7,International,International
OEF,QQQ,0.9253338936365075,Same Sector,0.7,Broad Market,Broad Market
MDY,VTV,0.9250455016964889,Cross Sector,0.7,Broad Market,Factor
OEF,XLK,0.9250304614791423,Cross Sector,0.7,Broad Market,Technology
IWB,VBK,0.9248645687452687,Cross Sector,0.7,Broad Market,Factor
OEF,VYM,0.9244880448341096,Cross Sector,0.7,Broad Market,Factor
IVV,VB,0.9244698455845444,Same Sector,0.7,Broad Market,Broad Market
VFH,IAI,0.9243944515841279,Same Sector,0.7,Financials,Financials
EZU,EWP,0.9240679212308568,Same Sector,0.7,International,International
VOO,VGT,0.923525527800907,Cross Sector,0.7,Broad Market,Technology
VOO,XLK,0.9232663615852524,Cross Sector,0.7,Broad Market,Technology
IWB,QQQ,0.9227739048327153,Same Sector,0.7,Broad Market,Broad Market
VTI,VBR,0.9226976242126097,Cross Sector,0.7,Broad Market,Factor
VV,QQQ,0.9225163970828689,Same Sector,0.7,Broad Market,Broad Market
VB,IVE,0.9222806408079564,Cross Sector,0.7,Broad Market,Factor
OEF,SPYV,0.92182049620513,Cross Sector,0.7,Broad Market,Factor
RSP,VBK,0.9216047198977947,Cross Sector,0.7,Broad Market,Factor
DIA,XLI,0.921357594492386,Cross Sector,0.7,Broad Market,Industrials
EWQ,EWI,0.9212884621975692,Same Sector,0.7,International,International
IWD,XLI,0.9211804992901441,Cross Sector,0.7,Factor,Industrials
VTI,IWM,0.9211504129553081,Same Sector,0.7,Broad Market,Broad Market
