direction,entry_date,exit_date,entry_z,exit_z,entry_spread,exit_spread,hedge_ratio,pnl,exit_reason,trading_year,leg_x,leg_y
SHORT,2017-06-21,2017-06-22,4.39827285976442,4.260890667150884,3.039511425246584,3.0516343519882696,0.40448085665682615,-106.97589827543614,stop_loss,2017,IBB,IWP
SHORT,2017-06-21,2017-06-22,4.821281427134227,4.51636276952003,3.1436241187960405,3.156391018725037,0.31194572611769816,-118.01605575423656,stop_loss,2017,IBB,IWB
SHORT,2017-06-21,2017-06-22,5.075206157446774,4.613707994888976,3.0678176567491207,3.0787343956118196,0.30932833013853733,-104.06056921876677,stop_loss,2017,IBB,IWO
SHORT,2017-06-21,2017-06-22,4.788868011089481,4.502611372112478,3.1722272172073165,3.1850335543933315,0.31935941165024323,-117.76374004311268,stop_loss,2017,IBB,VV
LONG,2017-04-27,2017-06-27,-2.2119162077590677,-0.3266399219261558,-4.914989191058256,-4.934094017504528,1.7064196891481116,-91.74711906994978,convergence,2017,EWC,IWF
LONG,2017-04-26,2017-06-27,-2.3966908865642456,-0.30628158228181024,-2.7184640172483676,-2.739435117512078,1.4836278886665384,-105.7121182034372,convergence,2017,EWC,IWP
SHORT,2017-05-03,2017-08-04,2.4845575670052633,0.3273397207910469,-3.048880919459128,-3.02753777641972,1.682248358301849,-100.9237164599592,convergence,2017,LQD,TIP
SHORT,2017-06-27,2017-08-08,2.069277088394132,0.4611968722849129,2.508711010463042,2.5058485574295752,0.44809090782649635,0.6548488392544485,convergence,2017,IBB,IWF
SHORT,2017-06-21,2017-08-09,2.266870707949746,0.4970799378900308,1.220834505665219,1.2164383121710118,0.8052685830221504,4.281088434772336,convergence,2017,IBB,XLV
SHORT,2017-06-22,2017-08-09,4.5006801396089475,0.4323615727923422,2.890133410452383,2.8632885924266978,0.327922364761529,181.0283364354032,convergence,2017,IBB,IVV
SHORT,2017-06-22,2017-08-09,4.51636276952003,0.4494534524209997,3.156391018725037,3.1301292114554613,0.31194572611769816,178.977453629892,convergence,2017,IBB,IWB
SHORT,2017-06-22,2017-08-09,4.502611372112478,0.4382389942975438,3.1850335543933315,3.1584925599914104,0.31935941165024323,180.0016914022115,convergence,2017,IBB,VV
SHORT,2017-06-27,2017-08-09,2.113110455602456,0.43662145565478566,2.928135702198574,2.9282034053395334,0.3158560562815287,-20.14888429266822,convergence,2017,IBB,SPY
SHORT,2017-06-21,2017-08-10,2.0916363212284748,-0.1184442142213994,0.7163294871791459,0.6981835664568314,0.8033309644468034,78.39735262185536,convergence,2017,IBB,VHT
LONG,2017-08-07,2017-08-10,-2.0528814110552753,-0.2338012007447352,-0.825513813273469,-0.8073249111753373,1.2486916390230174,59.93058391536621,convergence,2017,THD,VPL
SHORT,2017-06-22,2017-08-10,4.260890667150884,-0.0189082610898445,3.0516343519882696,3.0088060440177253,0.40448085665682615,277.1181588184912,convergence,2017,IBB,IWP
SHORT,2017-06-22,2017-08-10,4.613707994888976,0.02750693166517052,3.0787343956118196,3.0382545131449596,0.30932833013853733,281.37846265216183,convergence,2017,IBB,IWO
SHORT,2017-08-31,2017-10-18,2.2874022509120433,0.36458153751879957,0.7553690523685317,0.741069774940625,0.8033309644468034,60.696947726064124,convergence,2017,IBB,VHT
SHORT,2017-08-31,2017-10-18,2.2629417602053685,0.3630909623639046,1.2592218775162136,1.2449749575412827,0.8052685830221504,60.30813387891713,convergence,2017,IBB,XLV
SHORT,2017-08-29,2017-10-18,3.712998222962083,0.38300535280868925,-0.7676932549892728,-0.7672318125959663,1.2486916390230174,-24.602861848308052,convergence,2017,THD,VPL
SHORT,2017-08-31,2017-10-19,2.1417845777229787,0.4350742138348328,3.0864161626521742,3.0719539086388066,0.40448085665682615,86.28349009859991,convergence,2017,IBB,IWP
SHORT,2017-08-31,2017-10-19,2.038334993162563,0.4665728542811187,2.5590478745480927,2.548622581847908,0.44809090782649635,53.74107403103277,convergence,2017,IBB,IWF
SHORT,2017-08-31,2017-10-20,2.198272122718075,0.22968837583509089,2.9250304646963556,2.906515345634064,0.327922364761529,121.6361929239317,convergence,2017,IBB,IVV
SHORT,2017-08-31,2017-10-20,2.198876943400606,0.24584696680804327,3.191525515190878,3.173716395086786,0.31194572611769816,117.86458090018036,convergence,2017,IBB,IWB
SHORT,2017-08-31,2017-10-20,2.2914434945445072,0.08972468591978573,3.117237727263335,3.0923110796310938,0.30932833013853733,175.54703644882332,convergence,2017,IBB,IWO
SHORT,2017-08-31,2017-10-20,2.197585744181367,0.23725849810941374,3.2201304212513766,3.201885338177462,0.31935941165024323,120.4830193176038,convergence,2017,IBB,VV
SHORT,2017-08-31,2017-10-20,2.1977855204427295,0.24229914380211184,2.9899284754092132,2.972018513260762,0.3158560562815287,118.22577291021423,convergence,2017,IBB,SPY
LONG,2017-10-31,2017-11-14,-2.1634870959717953,-0.19081945075469772,0.0036792506858969176,0.014336255940132325,0.8573029006582752,37.30265637781467,convergence,2017,SDY,VBK
LONG,2017-11-06,2017-11-14,-2.0507921702279046,0.17128272654629245,0.12316652288399688,0.14164342169696376,0.8264995483524341,81.01759098095597,convergence,2017,DVY,VBK
LONG,2017-10-27,2017-11-14,-2.340934079541971,-0.31197981815957,-0.7860507886983834,-0.7786419355290368,1.0611285015679486,15.98678525635496,convergence,2017,DVY,VTI
LONG,2017-11-10,2017-11-17,-2.0622555150442383,-0.26612870124186105,-0.8137665754468335,-0.7746529349978024,1.2486916390230174,156.174965143537,convergence,2017,THD,VPL
LONG,2017-11-21,2017-11-29,-2.279828038042016,0.9061015722223077,-0.0031169872661722664,0.02020667201501425,0.8573029006582752,107.03896602026877,convergence,2017,SDY,VBK
SHORT,2017-11-06,2017-12-04,2.1737275796165636,-0.373195470085187,0.7319860988737958,0.7124202814679808,0.767049850749086,94.94522178241802,convergence,2017,IWP,SDY
LONG,2017-11-14,2017-12-11,-2.2133616632564395,-0.4665226661546267,3.0139335169667376,3.047292876999632,0.30932833013853733,240.4287041964282,convergence,2017,IBB,IWO
LONG,2017-11-14,2017-12-13,-2.205820952936682,-0.4361125669206943,2.8215352561549834,2.8587156627101207,0.327922364761529,267.0270655704304,convergence,2017,IBB,IVV
LONG,2017-11-14,2017-12-13,-2.2701483968872727,-0.4076709961750084,2.9753917696757397,3.0130405768982476,0.40448085665682615,255.07271424992,convergence,2017,IBB,IWP
LONG,2017-11-14,2017-12-13,-2.202635113787594,-0.4151786315381043,3.088984997615708,3.126851004670634,0.31194572611769816,275.8621214936977,convergence,2017,IBB,IWB
SHORT,2017-12-04,2017-12-21,2.160319307710143,0.4233881022538878,0.15464037506763972,0.14194330643596853,0.8264995483524341,49.991729482938474,convergence,2017,DVY,VBK
LONG,2017-10-26,2017-12-21,-2.252905898909499,-0.36992798967404517,0.685453782093465,0.6908819712945178,0.8033309644468034,10.284009883441897,convergence,2017,IBB,VHT
LONG,2017-10-26,2017-12-21,-2.152800106623897,-0.3428001437161996,1.1881860571380058,1.1964510128669774,0.8052685830221504,26.27032830461639,convergence,2017,IBB,XLV
LONG,2017-10-20,2017-12-29,-2.823251791958074,-0.44242191433570816,-2.768215099335585,-2.7903927172935656,1.4836278886665384,-111.57176069707981,convergence,2017,EWC,IWP
SHORT,2017-12-04,2017-12-29,2.51057231846411,1.0437097000244642,0.034770315046657174,0.02826156883678088,0.8573029006582752,15.35360195586605,period_end,2017,SDY,VBK
LONG,2017-10-18,2017-12-29,-2.0165131659075692,-0.5437728494982337,-4.9719742312651185,-5.036606467496852,1.7064196891481116,-266.9257538872133,period_end,2017,EWC,IWF
LONG,2018-04-24,2018-04-30,-2.3300734847508418,-0.3666694367625092,-0.7984992517896154,-0.7851638282519824,1.115838482820214,42.90615315109412,convergence,2018,RSP,VBR
SHORT,2018-05-04,2018-05-29,2.149356512283792,4.168989948935329,2.761109273818014,2.7788953102921394,0.355514812694917,-150.99791919321942,stop_loss,2018,BND,IGOV
LONG,2018-05-04,2018-05-29,-2.0579330015734376,-4.065442612700123,-1.789439282828552,-1.8446037595221942,1.2438889409745175,-266.89348068968195,stop_loss,2018,IGOV,TLT
LONG,2018-04-20,2018-07-12,-2.0327951780267064,-0.3005822873498414,-0.4316941636552789,-0.46513428908272836,1.1356275533811488,-186.26392910817006,convergence,2018,IWB,IWN
LONG,2018-04-24,2018-07-12,-2.7632311281982833,-0.32943647909567575,0.09602977891283793,0.07485358816571619,1.1434896557263186,-124.94028722069565,convergence,2018,IVV,IWN
LONG,2018-04-20,2018-07-13,-2.3893664513956057,-0.3969523042292594,-1.3901849594761089,-1.4140748470364035,1.0486979830096965,-144.34214521040698,convergence,2018,IJH,IWN
LONG,2018-05-29,2018-07-23,-4.065442612700123,-0.034717639478382516,-1.8446037595221942,-1.8172578184955301,1.2438889409745175,100.8779694792514,convergence,2018,IGOV,TLT
SHORT,2018-05-02,2018-07-24,2.3212856676749576,0.45500026675017236,0.8287133886742186,0.8649118847712884,1.059714186428723,-208.832949433359,convergence,2018,IWO,XLI
SHORT,2018-05-01,2018-07-24,2.0740649997029403,0.4136225920924985,-0.301033176736631,-0.26364088906666616,1.1494637298222399,-208.2202227650638,convergence,2018,IWO,VIS
SHORT,2018-04-11,2018-07-25,2.1031257127099274,0.19564038395069575,0.8126338119200014,0.8683167302152759,0.8578019856826373,-339.0040367584545,convergence,2018,IWM,VIS
