pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
XLI_IYT,XLI,IYT,INDUSTRIALS,LONG,2014-05-28,2014-06-27,22,-2.849014008651337,-1.5166786795367166,1.0821584858549418,9.000086044263076,-137.43553900321984,max_holding,58741.21789259159,387.57776109466255,-577.0056281229085,43.673858642578125,31.74616241455078
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2016-06-14,2016-06-22,6,-3.1261852953675877,-0.2545667058487045,0.8742229020130766,5.348316557882564,452.0713799396264,convergence,58603.782353588365,1060.9635053546247,-687.0013625214756,17.68297004699707,23.87372779846192
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2016-06-24,2016-07-14,13,-3.4586012460961744,-0.5784227506072662,0.8742229020130766,5.348316557882564,324.6965613048329,max_holding,59055.85373352799,1095.1274967393042,-700.806925118653,17.263477325439453,23.583961486816406
EWJ_DXJ,EWJ,DXJ,ASIA_DEV,SHORT,2016-06-27,2016-07-19,15,2.9463614153720084,0.5760862869274426,0.7525620687965349,6.271514300868031,388.241384442715,max_holding,59055.85373352799,-524.1928264602192,520.8018180804039,38.57000732421875,29.21531867980957
EZU_EWU,EZU,EWU,EUROPE,LONG,2016-06-24,2016-07-21,18,-2.894576641191352,-0.5660221091693617,0.7586753903944565,7.319257887691719,230.65284653120534,max_holding,59055.85373352799,825.3021219761929,-742.2418137108951,24.41268539428711,20.593923568725582
EWU_EWL,EWU,EWL,EUROPE,LONG,2017-05-04,2017-05-17,9,-3.10628199008447,-0.2983363431479659,0.9584799510355139,5.1116811968892835,477.7933652987181,convergence,59999.44452580674,770.8579550155713,-618.9092198004691,23.845420837402344,28.466588973999023
VGK_EWL,VGK,EWL,EUROPE,SHORT,2017-04-24,2017-05-22,20,3.3950309799082063,0.5580840762454085,0.9800037833216716,8.36580072509764,98.17372137086149,max_holding,59999.44452580674,-450.4971528784194,651.492313988401,40.35900115966797,27.34959602355957
EWU_EWQ,EWU,EWQ,EUROPE,LONG,2017-04-24,2017-05-30,25,-3.1907117756009913,-0.7277482072210748,0.8056087812012407,10.20582791963779,75.16750006490724,max_holding,59999.44452580674,843.2167863642588,-726.4024968147501,23.64479637145996,22.111677169799805
DBC_USO,DBC,USO,COMMODITIES,SHORT,2017-06-21,2017-07-25,23,3.0735009111450924,0.053132323366381504,0.674650284836645,13.500789320641603,352.04212392511914,convergence,60650.57911254123,-1809.746310429512,210.39365527220193,12.007272720336914,69.68000030517578
DBC_USO,DBC,USO,COMMODITIES,SHORT,2017-08-31,2017-09-26,17,3.036158257226735,0.012652931352615368,0.674650284836645,13.500789320641603,604.7943261236097,convergence,61002.62123646635,-1656.3077365552085,191.39828773384346,13.195765495300291,77.04000091552734
EWI_EWN,EWI,EWN,EUROPE,SHORT,2018-04-19,2018-05-16,19,3.5214506117635644,-0.14126143682015163,1.1216779862158588,11.927783998968724,422.5562918350797,convergence,61607.41556258996,-664.6959089002668,690.293445515945,26.21088981628418,28.30995750427246
